"site_id","daily_observed","daily_missing","daily_total","daily_completeness","observed_hours","total_hours","completeness","site_name","latitude","longitude","environment_type"
"ACTH",366,0,366,1,8766,8784,0.997950819672131,"Auchencorth Moss",55.79216,-3.2429,"Rural Background"
"BEL2",366,0,366,1,8775,8784,0.998975409836066,"Belfast Centre",54.59965,-5.928833,"Urban Background"
"BEX",366,0,366,1,8772,8784,0.998633879781421,"London Bexley",51.46603,0.184806,"Suburban Background"
"BIRR",366,0,366,1,8777,8784,0.999203096539162,"Birmingham A4540 Roadside",52.476145,-1.874978,"Urban Traffic"
"BLC2",366,0,366,1,8777,8784,0.999203096539162,"Blackpool Marton",53.80489,-3.007175,"Urban Background"
"BOTR",366,0,366,1,8777,8784,0.999203096539162,"Burton-on-Trent Horninglow",52.82105,-1.635718,"Urban Background"
"COPP",366,0,366,1,8763,8784,0.997609289617486,"Crewe Coppenhall",53.115941,-2.453492,"Urban Background"
"EB",366,0,366,1,8778,8784,0.99931693989071,"Eastbourne",50.805778,0.271611,"Urban Background"
"GHSR",366,0,366,1,8777,8784,0.999203096539162,"Glasgow High Street",55.860936,-4.238214,"Urban Traffic"
"GLKP",366,0,366,1,8775,8784,0.998975409836066,"Glasgow Townhead",55.865782,-4.243631,"Urban Background"
"HUL2",366,0,366,1,8771,8784,0.998520036429873,"Hull Freetown",53.74878,-0.341222,"Urban Background"
"IMGM",366,0,366,1,8778,8784,0.99931693989071,"Immingham Woodlands Avenue",53.619241,-0.213324,"Urban Background"
"LEAM",366,0,366,1,8777,8784,0.999203096539162,"Leamington Spa",52.28881,-1.533119,"Urban Background"
"LEAR",366,0,366,1,8776,8784,0.999089253187614,"Leamington Spa Rugby Road",52.294884,-1.542911,"Urban Traffic"
"LECU",366,0,366,1,8775,8784,0.998975409836066,"Leicester University",52.619904,-1.127182,"Urban Background"
"NPT3",366,0,366,1,8777,8784,0.999203096539162,"Newport",51.601203,-2.977281,"Urban Background"
"OSY",366,0,366,1,8767,8784,0.99806466302368,"St Osyth",51.777874,1.04901,"Rural Background"
"PEMB",366,0,366,1,8769,8784,0.998292349726776,"Narberth",51.782616,-4.69237,"Rural Background"
"PLYM",366,0,366,1,8776,8784,0.999089253187614,"Plymouth Centre",50.37167,-4.142361,"Urban Background"
"PRES",366,0,366,1,8778,8784,0.99931693989071,"Preston",53.76559,-2.680353,"Urban Background"
"REA1",366,0,366,1,8777,8784,0.999203096539162,"Reading New Town",51.45309,-0.944067,"Urban Background"
"SEND",366,0,366,1,8772,8784,0.998633879781421,"Southend-on-Sea",51.544166,0.678331,"Urban Background"
"SHDG",366,0,366,1,8776,8784,0.999089253187614,"Sheffield Devonshire Green",53.378622,-1.478096,"Urban Background"
"SHE",366,0,366,1,8776,8784,0.999089253187614,"Sheffield Tinsley",53.41058,-1.396139,"Urban Background"
"SOUT",366,0,366,1,8777,8784,0.999203096539162,"Southampton Centre",50.908173,-1.395757,"Urban Background"
"STOK",366,0,366,1,8773,8784,0.998747723132969,"Stoke-on-Trent Centre",53.02821,-2.175133,"Urban Background"
"SUN2",366,0,366,1,8775,8784,0.998975409836066,"Sunderland Silksworth",54.88361,-1.406878,"Urban Background"
"TRAN",366,0,366,1,8775,8784,0.998975409836066,"Wirral Tranmere",53.37287,-3.022722,"Urban Background"
"WFEN",366,0,366,1,8769,8784,0.998292349726776,"Wicken Fen",52.2985,0.290917,"Rural Background"
"WREX",366,0,366,1,8777,8784,0.999203096539162,"Wrexham",53.042282,-3.002829,"Urban Traffic"
