"site_id","observed_hours","total_hours","completeness","site_name","latitude","longitude","environment_type"
"EB",8778,8784,0.99931693989071,"Eastbourne",50.805778,0.271611,"Urban Background"
"IMGM",8778,8784,0.99931693989071,"Immingham Woodlands Avenue",53.619241,-0.213324,"Urban Background"
"PRES",8778,8784,0.99931693989071,"Preston",53.76559,-2.680353,"Urban Background"
"BIRR",8777,8784,0.999203096539162,"Birmingham A4540 Roadside",52.476145,-1.874978,"Urban Traffic"
"BLC2",8777,8784,0.999203096539162,"Blackpool Marton",53.80489,-3.007175,"Urban Background"
"BOTR",8777,8784,0.999203096539162,"Burton-on-Trent Horninglow",52.82105,-1.635718,"Urban Background"
"GHSR",8777,8784,0.999203096539162,"Glasgow High Street",55.860936,-4.238214,"Urban Traffic"
"LEAM",8777,8784,0.999203096539162,"Leamington Spa",52.28881,-1.533119,"Urban Background"
"NPT3",8777,8784,0.999203096539162,"Newport",51.601203,-2.977281,"Urban Background"
"REA1",8777,8784,0.999203096539162,"Reading New Town",51.45309,-0.944067,"Urban Background"
"SOUT",8777,8784,0.999203096539162,"Southampton Centre",50.908173,-1.395757,"Urban Background"
"WREX",8777,8784,0.999203096539162,"Wrexham",53.042282,-3.002829,"Urban Traffic"
"LEAR",8776,8784,0.999089253187614,"Leamington Spa Rugby Road",52.294884,-1.542911,"Urban Traffic"
"PLYM",8776,8784,0.999089253187614,"Plymouth Centre",50.37167,-4.142361,"Urban Background"
"SHDG",8776,8784,0.999089253187614,"Sheffield Devonshire Green",53.378622,-1.478096,"Urban Background"
"SHE",8776,8784,0.999089253187614,"Sheffield Tinsley",53.41058,-1.396139,"Urban Background"
"BEL2",8775,8784,0.998975409836066,"Belfast Centre",54.59965,-5.928833,"Urban Background"
"GLKP",8775,8784,0.998975409836066,"Glasgow Townhead",55.865782,-4.243631,"Urban Background"
"LECU",8775,8784,0.998975409836066,"Leicester University",52.619904,-1.127182,"Urban Background"
"SUN2",8775,8784,0.998975409836066,"Sunderland Silksworth",54.88361,-1.406878,"Urban Background"
"TRAN",8775,8784,0.998975409836066,"Wirral Tranmere",53.37287,-3.022722,"Urban Background"
"STOK",8773,8784,0.998747723132969,"Stoke-on-Trent Centre",53.02821,-2.175133,"Urban Background"
"BEX",8772,8784,0.998633879781421,"London Bexley",51.46603,0.184806,"Suburban Background"
"SEND",8772,8784,0.998633879781421,"Southend-on-Sea",51.544166,0.678331,"Urban Background"
"HUL2",8771,8784,0.998520036429873,"Hull Freetown",53.74878,-0.341222,"Urban Background"
"PEMB",8769,8784,0.998292349726776,"Narberth",51.782616,-4.69237,"Rural Background"
"WFEN",8769,8784,0.998292349726776,"Wicken Fen",52.2985,0.290917,"Rural Background"
"OSY",8767,8784,0.99806466302368,"St Osyth",51.777874,1.04901,"Rural Background"
"ACTH",8766,8784,0.997950819672131,"Auchencorth Moss",55.79216,-3.2429,"Rural Background"
"COPP",8763,8784,0.997609289617486,"Crewe Coppenhall",53.115941,-2.453492,"Urban Background"
