"","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
"EB",0,0.0248900315765174,0.0203133973310648,0.0329613609080992,0.0195240912228101,0.0301607177290458,0.0122999404007466,0.0378642708493508,0.0322232007553377,0.0703808587566584,0.0665882797535757,0.0233735080189904,0.0376925793539593,0.0248352372031965,0.0252552332629173,0.0251598129274407,0.0131972912621263,0.0122876713746158,0.0350254308951666,0.016759250625934,0.0215446352917908,0.0262155083407107,0.106289404391933,0.0901415375138693,0.0237350396680518,0.0216439222437338,0.0471714727353929,0.0647882740023399,0.0130183937048972,0.0246596478997268
"IMGM",0.015301511074272,0,0.0294883897243131,0.0285179966331079,0.0260183567072769,0.0370888043947887,0.0134121115533942,0.0279311646833504,0.0164952078661861,0.0195768730213617,0.0154280475261786,0.0245569205205084,0.027970788935562,0.0106932764389877,0.0548061596445438,0.0590088697970463,0.0124038188029116,0.0133892521730829,0.037975783915348,0.0299817524289102,0.0256272014838549,0.0329866523317245,0.0199787347400841,0.0201853561320861,0.288481714884787,0.0132131159391243,0.0319429251395638,0.021711254604091,0.0155175013622066,0.0303104575413473
"PRES",0.0115364348382693,0.0272415138464498,0,0.0290414442788121,0.20294865887346,0.0353202183531817,0.0175444583104157,0.0245348366444258,0.0184132688587965,0.0157362445305648,0.0134961840692385,0.0534338512252516,0.024656043296502,0.0113911783763577,0.0492481409554051,0.0475579575874396,0.0192663613770642,0.0175009920399651,0.0270959007259962,0.0297958127268333,0.0904306219841453,0.0502060189221826,0.0138716190725413,0.0132700793652911,0.0289170364403522,0.0171891225786497,0.017300015876849,0.0133027653115945,0.0194853648483243,0.0602678546856418
"BIRR",0.015771457550096,0.0221961083863263,0.0244678524911786,0,0.0225793254068467,0.0900384607110823,0.00921564009054647,0.120151455195207,0.0304390465764743,0.0287274087966583,0.0211128052119324,0.0379957761552242,0.123914158397705,0.0132910301229704,0.0360874349448329,0.0344520589611981,0.0104945216228929,0.00920141608743841,0.0706481267217922,0.0139033937992408,0.029747885468233,0.0579725839984688,0.0207751411844254,0.0184415155529016,0.0214517406135839,0.0180828850504222,0.0252623698578139,0.0174943921554944,0.00987683149474943,0.046207177394265
"BLC2",0.0117127131020787,0.0253897057397439,0.214379774225918,0.0283094181389489,0,0.0329948278059872,0.0194242448283538,0.0240570035866494,0.0191687818634296,0.0158563090296019,0.0138089722192636,0.0553930431099495,0.024170465792211,0.0120584083525567,0.042131589397071,0.0408562865068837,0.0224159707064454,0.0193744997722349,0.0258460959413328,0.0296227733151212,0.0977588709702103,0.0458433543408026,0.013912847662591,0.013292526823721,0.0267990547159721,0.0186559003317699,0.0169691240596327,0.0132792442182405,0.0212075266347013,0.0553106668085773
"BOTR",0.0144397489332361,0.0288836404485421,0.0297750360382175,0.0900905700437124,0.0263315945205404,0,0.00992457271065285,0.0629101085437857,0.0229192401468016,0.0235373193886145,0.0175713394479221,0.0395122736350696,0.0637066771399711,0.0116168948994591,0.0596104094354939,0.0555566185176751,0.0108724357651628,0.00990793873940726,0.0916395521027613,0.0163100903517409,0.0337448813031304,0.0874349971483193,0.0191974056423668,0.0176630820106949,0.0279054158077384,0.0157683572225757,0.0262867050319353,0.017332988312834,0.01082140104754,0.0587287056640988
"GHSR",0.000945513485209905,0.00167707700334991,0.00237473760777862,0.00148055153453191,0.00248898446623187,0.00159352385073193,0,0.00138506423446089,0.00125174469527455,0.00112315505813026,0.00103424550846573,0.00186102919457136,0.00138787790074539,0.000986050407329575,0.00183383429997753,0.00183446354361538,0.00340981991429414,0.946239950966887,0.00145696669941144,0.00287580968310464,0.00209352090154463,0.00175978365549966,0.0010583370457535,0.00104027205501046,0.00175613408587472,0.00132440909019959,0.00121853581595891,0.00105386780974775,0.00960980948727496,0.0018449299990339
"LEAM",0.00379795858766192,0.00455722843984108,0.00433325995776641,0.0251873783038337,0.00402230947902214,0.0131802331104306,0.00180728157748606,0,0.00627935821748089,0.00774948822781275,0.0051060606591027,0.00605187457914718,0.828010152877532,0.00280693246949622,0.00647797932945114,0.00627930784952757,0.00202328454061981,0.00180465987000121,0.0170894484839981,0.00272087323096773,0.00501322473801741,0.00845195033379,0.00526219235809976,0.00454518381593551,0.00434257602190181,0.00351722978753432,0.0063310660553693,0.00423300151909666,0.00193822794160003,0.00708027763747664
"NPT3",0.0285385445557339,0.0237635906686941,0.0287147463397957,0.0563413815287473,0.0282989929817228,0.0423980017826347,0.0144216244833316,0.0554444111783435,0,0.0489687812008765,0.0516145388260665,0.0432735250477225,0.0554976345342438,0.0435620135227803,0.0312130058396366,0.0304321839536798,0.0179090482229009,0.0144039130142148,0.0408695485412104,0.0182668845858,0.0351965841571531,0.0413313091186964,0.0316332521211327,0.0274427674068891,0.0232990607954466,0.0578246340145431,0.0292597052339986,0.0249266354335511,0.0148702303973772,0.0402834505130763
"REA1",0.0532133286123271,0.0240768859098284,0.0209497047113571,0.0453937040585034,0.0199839478733186,0.0371710556199177,0.0110469111590357,0.0584141767247136,0.0418044020139836,0,0.0866976552955378,0.0262498396764,0.0579073595468752,0.0232699215252464,0.0272624410485373,0.0269325819017192,0.0122556284560499,0.0110339082225336,0.0454174341017035,0.0154691109242246,0.0231431931194021,0.0304899130094665,0.075681434492306,0.0525011387457991,0.0229020731624769,0.022652663677499,0.0467673754711935,0.0416121436448964,0.0117073176690711,0.0279927496260766
"SOUT",0.0622185391060008,0.0234489882424201,0.0222046510751403,0.0412288535234094,0.0215078348327319,0.0342932711099018,0.012571321624456,0.047564984235009,0.0544541422934164,0.107142925941677,0,0.027969541211555,0.0473442661093064,0.0361017102421538,0.0266273401279886,0.0262927779656744,0.0143115241278565,0.0125578978886969,0.0382579525434564,0.0165504165863329,0.0247434452041877,0.0302687939788015,0.0578725632690834,0.0454962745207275,0.022589036669643,0.0294141020971513,0.0377976962345058,0.0374413286710336,0.0131421657715757,0.028585654796107
"WREX",0.0132207020534428,0.0225941314287759,0.0532179379007535,0.0449158107265121,0.0522274914363405,0.0466814857699493,0.013693645646615,0.0341271413723008,0.0276369269078463,0.0196377356898164,0.0169314420248096,0,0.0343775842972923,0.014418921774543,0.0409312775136622,0.0386721200809149,0.0171284755121941,0.0136679773471917,0.0329354287811028,0.019271380366261,0.120402107114249,0.079993151739114,0.0158806777613028,0.0147307520436896,0.0229287949425225,0.0244737334290737,0.0186897826324265,0.0143491570792795,0.014465408201731,0.117798818426288
"LEAR",0.00377634158832393,0.00455838766159246,0.0043496042432091,0.0259459542740746,0.00403658178417751,0.0133316037569466,0.00180884749984222,0.827047491537229,0.00627807851318059,0.00767332003346424,0.00507645789345166,0.00608919875418081,0,0.00280298958014765,0.00650549458525614,0.00630341897879096,0.00202587882932948,0.0018062184611085,0.0171200798080669,0.0027238978317144,0.00503775704527845,0.00852527222764951,0.00522322353973736,0.00451626915701675,0.0043451658381927,0.00352087465891828,0.00629057672738704,0.00420917440901673,0.00193993371915935,0.00713190706355737
"PLYM",0.0359130458808917,0.025152771695699,0.0290043760122428,0.0401675990695936,0.0290661317373529,0.0350877902556614,0.0185489070382572,0.040466464788696,0.0711260564158114,0.0445054280553192,0.055871417516467,0.036862611084299,0.0404566573985488,0,0.0297139273040423,0.0292688887873143,0.023326018106888,0.0185324306763057,0.0347723286200343,0.0211835436076722,0.0330636549376283,0.0348395993599699,0.034650015409196,0.0312900942405511,0.0248014825862272,0.0700971507612241,0.0301875370366929,0.0286756682885151,0.0186930942191941,0.0346753091097044
"SHDG",0.00898329629709797,0.0317106276599312,0.0308450250592342,0.0268270956283675,0.0249807518809315,0.0442882454149493,0.00848554442507647,0.0229722361020534,0.0125359366909661,0.0128257631431151,0.0101365487138775,0.0257400283239557,0.0230966634595824,0.00730904218840459,0,0.428942849069576,0.00867602154646852,0.00846913920315189,0.0318033968498769,0.0166363059580448,0.0271816548118296,0.0459523425466956,0.0115708661439464,0.0111013224717496,0.0325280500769007,0.00993193514089997,0.016485854533006,0.0112926819741681,0.00955610358857702,0.0391346710975654
"SHE",0.00907711542003998,0.0346297114933216,0.0302116601992585,0.0259769964542074,0.0245704246854969,0.0418656929979045,0.00860963648937125,0.0225855982411305,0.012396823755807,0.0128514631433535,0.0101520771586713,0.0246665159987618,0.0226987118376841,0.00730235187982214,0.435066397779279,0,0.00871051436948045,0.0085929992715944,0.0314779694104363,0.0172463544817777,0.0261711969034915,0.0421221464712394,0.0117063998488176,0.0112726103964785,0.0356918086508095,0.00984649907340288,0.0168458915135682,0.0115110164463307,0.00973143485158676,0.0364119807768763
"BEL2",0.0188673803496282,0.0288451859460437,0.0484995211832361,0.0313561514052208,0.053419236423445,0.0324665157530829,0.063415223228538,0.0288378673115775,0.0289092060899724,0.0231737610739981,0.0218973054160715,0.0432927221954254,0.0289084532513422,0.023061283954093,0.034870894232827,0.0345167704510726,0,0.0633375038271315,0.0290290539000976,0.0383460810786912,0.0478642364680269,0.0370623987319079,0.0208525391448955,0.0201100448525385,0.0297980412346347,0.0345624416481557,0.0230982884946,0.0199721308396324,0.0518376922718629,0.0397920692422502
"GLKP",0.000944699198625861,0.00167444700420618,0.00236917735178544,0.00147846801031525,0.0024829488899041,0.00159107005357945,0.946369029198639,0.00138324367553022,0.00125037794695682,0.00112198606240134,0.00103328206722407,0.00185779414540855,0.00138604976080077,0.00098530892172409,0.00183053859531646,0.00183116839437539,0.00340610553185872,0,0.0014549260369441,0.00286848715294455,0.00208935823843295,0.00175679065918601,0.00105729890994767,0.00103927404807016,0.00175324981754372,0.00132309192093131,0.00121714462316854,0.00105284887904273,0.00955018194198941,0.0018416529631471
"LECU",0.0183580772230571,0.032377370853065,0.0250068071028907,0.0773887192764345,0.0225814580512238,0.100324890275796,0.00993410191037679,0.08929993153237,0.0241869107635165,0.0314847635431281,0.0214606768680816,0.0305194292783487,0.0895641228165483,0.0126035692759503,0.0468633007051383,0.0457309227352117,0.0106426501091052,0.00991883492376188,0,0.0162607723633102,0.0270016195795749,0.0489847614480226,0.0262127669616992,0.0238834165349705,0.030173840761426,0.0157746533604051,0.0400341241564676,0.023399550880883,0.0108403473481858,0.0391876093610509
"SUN2",0.017763936140201,0.0516931203106422,0.0556097304032812,0.0307991502635838,0.0523387860525889,0.0361096271779917,0.0396533633078707,0.0287522799668488,0.0218618016053926,0.0216862318720096,0.0187746358895134,0.0361132697159516,0.028817745920076,0.0155274196544525,0.0495743657133265,0.0506688988087917,0.0284301264208091,0.0395470012599478,0.0328838056035609,0,0.0418648009562715,0.0390845332336289,0.0210365424785054,0.0209370436777218,0.0576846943869657,0.0203448313097243,0.0269025214712027,0.0217342139328757,0.053926635809757,0.039878886656507
"TRAN",0.012151919236774,0.0235124582697206,0.0898115500153294,0.035066718874345,0.0919126372609253,0.0397553574465532,0.0153609582496403,0.0281904672921117,0.022415224927845,0.0172648632527353,0.0149363294044248,0.120063001358188,0.0283613913880697,0.0128965236705771,0.0431019858988913,0.0409155941962789,0.0188838290512117,0.0153283242455845,0.0290570711277639,0.0222776897204593,0,0.0647232239337894,0.014541515737894,0.0136823386909134,0.0242713851876246,0.0210562352757984,0.0174845871685832,0.0134941584435427,0.0163941010582004,0.093088559616225
"STOK",0.0119765970532449,0.0245134548973841,0.0403870271350967,0.0553517194523295,0.0349112070375109,0.0834338885480993,0.0104585075500598,0.0384956328973878,0.0213201949898396,0.0184232173485453,0.0147995413993997,0.0646096433410017,0.0388747847013793,0.0110068837293183,0.0590199001131345,0.0533390404435001,0.0118435494000193,0.0104392959378423,0.042696516803112,0.0168459488187271,0.0524239292433376,0,0.0151194190674545,0.0140429836318104,0.0245629585919263,0.0162709100535879,0.0193322489825861,0.0138039688996792,0.0113559499321459,0.17034108000054
"BEX",0.0770766780120925,0.0235663390902057,0.0177121432173335,0.0314854787995441,0.0168175360553708,0.0290775349650634,0.00998371771624497,0.0380433810814566,0.0259008319490316,0.0725866086376008,0.0449142052341844,0.0203597025597179,0.0378056068953113,0.0173761084710299,0.0235892723358597,0.0235296744714204,0.0105770646083973,0.00997256419015925,0.0362662103287715,0.0143920536405257,0.0186954948461752,0.0239989900055042,0,0.161095453851499,0.0221533433346713,0.01677631512726,0.061150047260012,0.0822832114900063,0.0106860982344547,0.0221283335910961
"SEND",0.0655211722513156,0.0238662530023491,0.0169840462492567,0.0280147408781629,0.0161056243535092,0.0268166925476554,0.00983646179265209,0.0329372641045394,0.0225227521952177,0.050473050850415,0.0353924411830963,0.0189300167088121,0.0327658244878403,0.0157282223658751,0.0226854331242782,0.0227112346573352,0.0102245201173018,0.00982568463686186,0.0331214579057457,0.0143577851052466,0.0176323950028947,0.0223429715430878,0.161475622404252,0,0.0223538431865044,0.0153284979180793,0.0646853072652176,0.156115244742363,0.0105752077701298,0.020670231650005
"HUL2",0.0146358351039805,0.289358979185193,0.031397297945811,0.0276454323376706,0.0275461142193138,0.0359416552462508,0.0140870643413926,0.0266965013164529,0.016221940977773,0.0186782627072015,0.0149074459077341,0.024996439775058,0.0267435150705557,0.0105759955845025,0.0563898884707932,0.0610036262788599,0.0128525250743802,0.0140620095742889,0.0354988622882686,0.0335585768046593,0.0265348343485708,0.0331537812250443,0.0188379573484441,0.0189636987859616,0,0.0132181153667001,0.0289613006551729,0.02026343294273,0.0164413761548278,0.0308275349624083
"PEMB",0.0251027422301379,0.0249276635218319,0.0351034544217996,0.0438314891913107,0.0360673917449483,0.0381991484478548,0.0199821692974462,0.04066917074552,0.0757242447563068,0.0347487042140574,0.0365105842606282,0.0501827905030037,0.040758702707444,0.0562213977971227,0.0323843165558828,0.0316538540608978,0.0280390189394184,0.0199595736397317,0.0349060993585524,0.0222615134790733,0.0432972385431987,0.0413068322577929,0.026831735359332,0.0244584033753206,0.0248614923084142,0,0.026279643009425,0.0229978659127125,0.0199206293708624,0.0428121299899735
"WFEN",0.0364049514643124,0.0401002270083995,0.0235092334501583,0.0407463220329079,0.0218300016341678,0.0423739746794459,0.0122336091010421,0.0487121433100768,0.0254969260240525,0.0477373333324874,0.0312193845394475,0.0255008497173497,0.0484569495589774,0.0161110844369144,0.0357691108098812,0.0360358333883903,0.0124690687437515,0.0122179754102145,0.0589478061969916,0.0195879686356164,0.0239238282359262,0.0326578993320714,0.0650795892042697,0.0686799497706499,0.0362469557062582,0.0174869988201723,0,0.0777533457311634,0.0133782670698248,0.0293324126550789
"OSY",0.0531100126110996,0.0289504981631434,0.0192013988853901,0.0299717536955351,0.0181454053762874,0.0296780572661266,0.0112383204998712,0.0345945584426441,0.023071748696166,0.0451163772087009,0.0328480226996511,0.0207958063517021,0.0344398698844063,0.0162558474187499,0.0260251206640077,0.0261549093176552,0.011451901235707,0.0112259233968175,0.0365968588175547,0.016808901192074,0.0196119181353217,0.0247690193113948,0.0930161185741576,0.176063208135612,0.0269380076496419,0.016254826202791,0.0825882111136487,0,0.0121623869277893,0.0229150121263528
"ACTH",0.014951079537216,0.0289886552401651,0.0394034853878621,0.0237064267520809,0.0405992951824298,0.0259585645327011,0.14357049845511,0.0221921497156634,0.019282782572647,0.0177830679906278,0.0161532560479356,0.029370762710696,0.0222375341824159,0.0148461012251473,0.0308540130672977,0.0309778719246262,0.0416422327045508,0.142660202746061,0.0237527907611721,0.0584297288208712,0.0333808222790842,0.028547196523767,0.0169239330139706,0.0167088808330236,0.030621451285891,0.0197257263670367,0.0199082914984661,0.0170393871995806,0,0.0297838114419029
"COPP",0.0114514170752086,0.0228958082911999,0.049279811704433,0.0448451111220074,0.0428148649090064,0.0569645696389812,0.0111451914652596,0.0327794771654334,0.0211220409834965,0.0171930155794316,0.0142068727933407,0.0967125147524629,0.0330569379695424,0.0111354756979234,0.0510916242168504,0.0468679778407171,0.0129253431539295,0.0111238775185126,0.0347198168731195,0.0174715235835943,0.0766413143296123,0.173147650555622,0.0141705940298632,0.0132056872464625,0.0232157978904,0.0171417041447631,0.0176497730957462,0.0129811287787892,0.0120430775942913,0
