"","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
"EB",0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0
"IMGM",0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0
"PRES",0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111
"BIRR",0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769
"BLC2",0,0,0.125,0,0,0.125,0,0,0,0,0,0.125,0,0,0.125,0.125,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0.125
"BOTR",0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0,0,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0,0,0.0666666666666667,0,0.0666666666666667,0,0,0.0666666666666667
"GHSR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0
"LEAM",0,0,0,0.0769230769230769,0,0.0769230769230769,0,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0,0.0769230769230769,0,0,0.0769230769230769,0.0769230769230769,0,0,0,0.0769230769230769,0,0,0.0769230769230769
"NPT3",0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"REA1",0.0909090909090909,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,0,0
"SOUT",0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
"WREX",0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333
"LEAR",0,0,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333
"PLYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHDG",0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0,0,0,0.0714285714285714
"SHE",0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0,0,0,0.0714285714285714
"BEL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLKP",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
