"","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
"EB",0,314.580597511444,385.45600609335,237.54847462914,401.038948039322,259.60658747451,636.582028067733,206.789166403657,242.990169253205,111.250717080499,117.587074398015,334.991264428853,207.73110091223,315.274661617154,310.031624887675,311.207441327188,593.297582807005,637.217644149791,223.549598257763,467.199947073001,363.427874242224,298.675154555758,73.6660540174574,86.8625188938541,329.888684195412,361.76072512395,165.988478870296,120.853983625752,601.450623088324,317.519578432678
"IMGM",314.580597511444,0,163.235718924445,168.790204953744,185.006245810528,129.784676942803,358.896395799383,172.336476159972,291.81557065673,245.879844616658,312.000497043111,196.01637316668,172.092339177909,450.148139724718,87.8287865413623,81.5734738375451,388.070687991876,359.509137205541,126.753367548709,160.549604563172,187.830048458666,145.924431741838,240.934101142793,238.467850905091,16.6858356984424,364.301540889339,150.692476519957,221.707984377165,310.201905849097,158.808506602257
"PRES",385.45600609335,163.235718924445,0,153.118696667567,21.9109016142259,125.899224428631,253.458272614522,181.243843672615,241.499113026371,282.582549392798,329.484843604862,83.2204304078686,180.352866996561,390.37121098417,90.2935219695317,93.5025035324454,230.805807608756,254.087773262271,164.112946171564,149.242047467657,49.1734768571545,88.570816662596,320.567345027361,335.098832109955,153.777449030365,258.697794315502,257.03953851662,334.275467781103,228.211692823287,73.7837462526248
"BIRR",237.54847462914,168.790204953744,153.118696667567,0,165.92549228984,41.6098371086702,406.53559024584,31.1813592071501,123.081571372183,130.415023165589,177.450871454359,98.6026885830154,30.2345247076539,281.880760862066,103.816901628803,108.744899337455,356.994422264175,407.164033025108,53.0302197318968,269.465551922158,125.941243376922,64.6251283848671,180.335028794518,203.15497785181,174.647165057139,207.184067877269,148.303017681641,214.153521334372,379.320603545295,81.0801675189217
"BLC2",401.038948039322,185.006245810528,21.9109016142259,165.92549228984,0,142.363347636313,241.824286228486,195.25516235741,245.047086174292,296.23881146456,340.159576437655,84.79862952863,194.338585839655,389.541803844127,111.490076884462,114.97016843057,209.549441452179,242.44518291386,181.739406671173,158.569020232359,48.0493902448547,102.463142339549,337.619893141939,353.375562331882,175.276859237296,251.783835548526,276.811821555255,353.729027341167,221.489955997888,84.9249233859464
"BOTR",259.60658747451,129.784676942803,125.899224428631,41.6098371086702,142.363347636313,0,377.714391726142,59.5874658511682,163.559259405432,159.264268061019,213.339111435208,94.8731520531624,58.8424025994933,322.689838979318,62.8858949308617,67.4744799911372,344.785108462766,378.348518611287,40.9065066178249,229.836491625934,111.088076169892,42.8736097307481,195.268778207885,212.231021872418,134.334280140222,237.732687789387,142.606459805135,216.272801717086,346.411146586077,63.8300112722847
"GHSR",636.582028067733,358.896395799383,253.458272614522,406.53559024584,241.824286228486,377.714391726142,0,434.562439058712,480.846369273644,535.898305067783,581.967131646728,323.421520595192,433.681443920282,610.411889195778,328.217708648861,328.105125923673,176.518674624759,0.63609329891988,413.116437200284,209.296496745404,287.504601237191,342.028913667466,568.719477783927,578.595655897209,342.739712657255,454.464482639277,493.950923803299,571.131299782638,62.6335925574099,326.24375574981
"LEAM",206.789166403657,172.336476159972,181.243843672615,31.1813592071501,195.25516235741,59.5874658511682,434.562439058712,0,125.072764314008,101.345620161021,153.812643995544,129.774118763858,0.948510942346356,279.798926020894,121.237912385367,125.073767555019,388.169174730919,435.193746718428,45.9568189759673,288.648762257433,156.66097799733,92.9225396933966,149.24895118464,172.79316352942,180.855023934449,223.294108665214,124.051255114002,185.536595447719,405.203471439937,110.924561237703
"NPT3",242.990169253205,291.81557065673,241.499113026371,123.081571372183,245.047086174292,163.559259405432,480.846369273644,125.072764314008,0,141.61238245631,134.353341704872,160.250078175753,124.952816999057,159.188825562702,222.169752168882,227.870131910116,387.21129596214,481.437631912548,169.676104076498,379.626079053929,197.024397051569,167.780453116619,219.218237356166,252.692655555471,297.633704324818,119.924421313135,237.001217762789,278.199831273819,466.34017002595,172.144781132562
"REA1",111.250717080499,245.879844616658,282.582549392798,130.415023165589,296.23881146456,159.264268061019,535.898305067783,101.345620161021,141.61238245631,0,68.283518697031,225.525985657125,102.232617972668,254.40657201782,217.149335814124,219.808891251667,483.045074970368,536.529835754087,130.346882941579,382.699496781735,255.799661516826,194.163261945797,78.2228958274232,112.759858315174,258.492797763874,261.338845207947,126.584417165083,142.266666598121,505.668431804955,211.48408232276
