"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","gnar_training_rows","rmse","mae","coverage_95"
0,0,1,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,1,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,1,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,1,"Bayesian Gaussian GNAR",0,8700,3.83329490841122,2.70903337160706,0.925675675675676
0,0,2,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,2,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,2,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,2,"Bayesian Gaussian GNAR",0,8700,3.8330774776516,2.70944301458547,0.927927927927928
0,0,3,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,3,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,3,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,3,"Bayesian Gaussian GNAR",0,8700,3.83284008754648,2.70964411626528,0.924324324324324
0,0,4,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,4,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,4,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,4,"Bayesian Gaussian GNAR",0,8700,3.8333180453265,2.70943059062927,0.923423423423423
0,0,5,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,5,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,5,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,5,"Bayesian Gaussian GNAR",0,8700,3.83285658523374,2.70942526895071,0.920720720720721
0,0,6,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,6,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,6,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,6,"Bayesian Gaussian GNAR",0,8700,3.83339369668871,2.70935131379775,0.925225225225225
0,0,7,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,7,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,7,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,7,"Bayesian Gaussian GNAR",0,8700,3.83325675287586,2.70922426518672,0.923873873873874
0,0,8,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,8,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,8,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,8,"Bayesian Gaussian GNAR",0,8700,3.83276144980028,2.70944206911651,0.922972972972973
0,0,9,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,9,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,9,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,9,"Bayesian Gaussian GNAR",0,8700,3.83307119438147,2.7096618741029,0.925675675675676
0,0,10,"Persistence",0,8700,4.303623750133,3.04562712058473,NA
0,0,10,"Ridge VAR",0,8700,3.82131916979254,2.70694327289109,NA
0,0,10,"OLS GNAR",0,8700,3.83317864841647,2.70938858562425,NA
0,0,10,"Bayesian Gaussian GNAR",0,8700,3.83320134300477,2.70934785246378,0.927027027027027
0.1,10,1,"Persistence",0.0971461187214612,6415,4.30553341900996,3.04792158379794,NA
0.1,10,1,"Ridge VAR",0.0971461187214612,6415,3.91565342288471,2.77664829694674,NA
0.1,10,1,"OLS GNAR",0.0971461187214612,6415,3.84571467933002,2.71588498123661,NA
0.1,10,1,"Bayesian Gaussian GNAR",0.0971461187214612,6415,3.84593612770592,2.7158176533801,0.925225225225225
0.1,10,2,"Persistence",0.0939497716894977,6459,4.30350102625263,3.04487685782197,NA
0.1,10,2,"Ridge VAR",0.0939497716894977,6459,3.81255596567288,2.70647315712135,NA
0.1,10,2,"OLS GNAR",0.0939497716894977,6459,3.83398500623593,2.7117803263176,NA
0.1,10,2,"Bayesian Gaussian GNAR",0.0939497716894977,6459,3.83384450821774,2.71176887870939,0.925675675675676
0.1,10,3,"Persistence",0.0976027397260274,6364,4.30373629343184,3.04585683154569,NA
0.1,10,3,"Ridge VAR",0.0976027397260274,6364,3.76380679708884,2.6927124338,NA
0.1,10,3,"OLS GNAR",0.0976027397260274,6364,3.83018399320043,2.71043346798354,NA
0.1,10,3,"Bayesian Gaussian GNAR",0.0976027397260274,6364,3.83040926291275,2.71026785669666,0.91981981981982
0.1,10,4,"Persistence",0.0994292237442922,6332,4.30396508850917,3.04573287117227,NA
0.1,10,4,"Ridge VAR",0.0994292237442922,6332,3.81531831587477,2.69299311722477,NA
0.1,10,4,"OLS GNAR",0.0994292237442922,6332,3.82606479652104,2.70919325222271,NA
0.1,10,4,"Bayesian Gaussian GNAR",0.0994292237442922,6332,3.82617543586796,2.70929905468318,0.924774774774775
0.1,10,5,"Persistence",0.0920091324200913,6509,4.3034387568468,3.04470859580995,NA
0.1,10,5,"Ridge VAR",0.0920091324200913,6509,3.81680316225684,2.68970264343211,NA
0.1,10,5,"OLS GNAR",0.0920091324200913,6509,3.84186877127673,2.70797636712162,NA
0.1,10,5,"Bayesian Gaussian GNAR",0.0920091324200913,6509,3.8425376558959,2.70818524812649,0.920720720720721
0.1,10,6,"Persistence",0.103196347031963,6269,4.30379695633069,3.04633048019434,NA
0.1,10,6,"Ridge VAR",0.103196347031963,6269,3.82192426471231,2.67889134402767,NA
0.1,10,6,"OLS GNAR",0.103196347031963,6269,3.84124628970063,2.70805308450484,NA
0.1,10,6,"Bayesian Gaussian GNAR",0.103196347031963,6269,3.84104022744072,2.70830832404247,0.921171171171171
0.1,10,7,"Persistence",0.0969178082191781,6410,4.30373629343184,3.04585683154569,NA
0.1,10,7,"Ridge VAR",0.0969178082191781,6410,3.78211187720248,2.68839618845485,NA
0.1,10,7,"OLS GNAR",0.0969178082191781,6410,3.8356439850663,2.70980933752718,NA
0.1,10,7,"Bayesian Gaussian GNAR",0.0969178082191781,6410,3.83583778778069,2.70978866804302,0.917567567567568
0.1,10,8,"Persistence",0.102283105022831,6292,4.3032878494302,3.04481841187602,NA
0.1,10,8,"Ridge VAR",0.102283105022831,6292,3.79455632419512,2.68751939985601,NA
0.1,10,8,"OLS GNAR",0.102283105022831,6292,3.83741486403956,2.70690207273144,NA
0.1,10,8,"Bayesian Gaussian GNAR",0.102283105022831,6292,3.83758178915083,2.70702431252012,0.922972972972973
0.1,10,9,"Persistence",0.100114155251142,6323,4.30369895145537,3.04543196292707,NA
0.1,10,9,"Ridge VAR",0.100114155251142,6323,3.78988901381649,2.69067550022426,NA
0.1,10,9,"OLS GNAR",0.100114155251142,6323,3.82732891874363,2.70943908961444,NA
0.1,10,9,"Bayesian Gaussian GNAR",0.100114155251142,6323,3.82726957071067,2.70953910982558,0.924774774774775
0.1,10,10,"Persistence",0.102853881278539,6256,4.30378009924415,3.0450259944586,NA
0.1,10,10,"Ridge VAR",0.102853881278539,6256,3.80460334409667,2.66924028395676,NA
