"variable","rhat","ess_bulk","ess_tail","mcse_mean"
"alpha_lag1",1.00031715182798,13423.2808514493,13417.8581248265,0.000111350095598639
"beta_lag1_stage1",1.0000929729822,12295.8143242342,13247.5038189786,0.000162915387018492
"alpha_lag2",1.00008377718607,13613.2284320154,13470.4034608074,0.000110817380055635
"beta_lag2_stage1",1.00018842551677,12183.7355004676,13172.0118837001,0.00016576381861561
"station_S1",1.00028676007764,7117.64482159086,10609.2276509359,0.000897698025432925
"station_S2",1.00055546888286,6935.16042225701,10758.3430438425,0.000720796701518817
"station_S3",1.00040799109069,7272.86605630471,10442.9591327226,0.000749924277481383
"station_S4",1.00021988034993,7112.03931792748,10359.9099702775,0.000842117082013464
"station_S5",1.00029055971088,6962.57197037873,11039.8213891241,0.000940635354811552
"station_S6",1.00039845251103,7097.77871698625,10402.480480829,0.00101631661029316
"station_S7",1.00024311889393,6687.31367318189,10113.0574359335,0.00113293842946876
"station_S8",1.00051772241891,6621.74889728676,10133.7693300958,0.0012148206922272
"station_S9",1.00052233980186,6729.67896374117,10905.2994288499,0.00125320919636044
"station_S10",1.00047253654576,6891.18739569748,10820.6825857924,0.00107828221414774
"sigma2",0.999975841063777,13644.9420116483,13742.4157271183,3.27065703243679e-05
"tau2_mu",1.00023285747301,10894.668376518,12201.0742205274,0.00118875855452667
"mu0",1.0001188636775,7262.52220049811,11732.3151417353,0.00187587202046363
