"parameter","truth","posterior_mean","lower_95","upper_95","error","abs_error","covered_95"
"alpha_lag1",0.42,0.411143242899907,0.385685029426294,0.436187151873715,-0.00885675710009276,0.00885675710009276,TRUE
"beta_lag1_stage1",0.2,0.187133155101463,0.151933643516992,0.22183433807182,-0.0128668448985372,0.0128668448985372,TRUE
"alpha_lag2",0.08,0.096713238204252,0.071560013918531,0.122170629010523,0.016713238204252,0.016713238204252,TRUE
"beta_lag2_stage1",-0.06,-0.0310142853697459,-0.0667440436929964,0.00443660328986776,0.0289857146302541,0.0289857146302541,TRUE
"sigma2",0.2025,0.209552721977643,0.202234446723538,0.217270367707731,0.00705272197764314,0.00705272197764314,TRUE
"station_S1",0.8,0.70675246739082,0.555242535157456,0.854486803647822,-0.0932475326091802,0.0932475326091802,TRUE
"station_S2",0.933333333333333,0.876327047947215,0.757009932144828,0.99294421787037,-0.0570062853861186,0.0570062853861186,TRUE
"station_S3",1.06666666666667,1.01981696198807,0.893839388073064,1.14313459253971,-0.0468497046785963,0.0468497046785963,TRUE
"station_S4",1.2,1.11772608506884,0.976114345240827,1.2574112355628,-0.0822739149311591,0.0822739149311591,TRUE
"station_S5",1.33333333333333,1.26112251773846,1.10691484556369,1.41480207246526,-0.072210815594878,0.072210815594878,TRUE
"station_S6",1.46666666666667,1.39626340454333,1.22588510514071,1.56328997232941,-0.0704032621233368,0.0704032621233368,TRUE
"station_S7",1.6,1.49636869675659,1.31286202133321,1.67630792292909,-0.103631303243411,0.103631303243411,TRUE
"station_S8",1.73333333333333,1.60541609691835,1.40909500152086,1.79894248886606,-0.127917236414986,0.127917236414986,TRUE
"station_S9",1.86666666666667,1.73112108200965,1.52775008696002,1.93406231443158,-0.135545584657012,0.135545584657012,TRUE
"station_S10",2,1.89877447513434,1.72083618517376,2.0744499042824,-0.10122552486566,0.10122552486566,TRUE
