"parameter","posterior_mean","lower_95","upper_95"
"alpha_lag1",0.38723993768842,0.356218803618954,0.41799737076369
"beta_lag1_stage1",0.485623097908557,0.446100224897818,0.526121986886738
"alpha_lag2",-0.0198717407200994,-0.0509653549364159,0.0106507797544401
"beta_lag2_stage1",-0.158699674204636,-0.198628531611078,-0.118300398750232
"station_EB",1.96627099817269,1.58390716790007,2.34745891192388
"station_IMGM",2.21831523496729,1.84728280413176,2.59916336816268
"station_PRES",2.0009765563224,1.624575377137,2.37728389460026
"station_BIRR",2.58126973322141,2.20708315354842,2.96674613372443
"station_BLC2",2.40748139657583,2.02712474646203,2.78598773990564
"station_BOTR",2.16392576933508,1.79199157955702,2.53534725936178
"station_GHSR",1.48347464427338,1.10200541191708,1.86073415705814
"station_LEAM",1.94281865416826,1.55897551683625,2.3251359687129
"station_NPT3",2.01522327602367,1.64380869283101,2.38964714933222
"station_REA1",1.88004298363286,1.50263951348877,2.25364750418336
"station_SOUT",2.07223570139861,1.69446432373124,2.44734660307105
"station_WREX",1.74144057249348,1.36469537596668,2.11841200645107
"station_LEAR",1.83740562331648,1.4600327063731,2.21812113729973
"station_PLYM",2.62151541283152,2.23511567557788,3.00895401871653
"station_SHDG",2.46041533390387,2.08110919695784,2.83889647664601
"station_SHE",2.39261929047893,2.01772735064419,2.77399722719682
"station_BEL2",2.33739724933155,1.96373159292547,2.71108342349806
"station_GLKP",1.2857279112359,0.896863341341791,1.6738747934218
"station_LECU",2.02638364300036,1.64847991758583,2.40289865642931
"station_SUN2",2.03661351049926,1.65859370028233,2.41660759572364
"station_TRAN",2.00215079529734,1.62468181314446,2.38241773774574
"station_STOK",2.2218673341528,1.8432334007037,2.60619996774453
"station_BEX",2.40801910769471,2.02636203136483,2.78446932482183
"station_SEND",2.20845888258321,1.82280381013592,2.58637020868942
"station_HUL2",2.65569907231915,2.27425526134391,3.04013014158512
"station_PEMB",1.40426877449641,1.01795051023717,1.78297836155024
"station_WFEN",1.85925609633705,1.47550771250719,2.23922167346311
"station_OSY",2.1448912201291,1.76533163350677,2.52136706176712
"station_ACTH",0.479099724313503,0.0629163186259216,0.89622662459502
"station_COPP",2.14953460136417,1.76497316742792,2.52338906721745
