"site_id","site_name","environment_type","latitude","longitude","daily_observed","daily_missing","daily_completeness"
"ACTH","Auchencorth Moss","Rural Background",55.79216,-3.2429,366,0,1
"BEL2","Belfast Centre","Urban Background",54.59965,-5.928833,366,0,1
"BEX","London Bexley","Suburban Background",51.46603,0.184806,366,0,1
"BIRR","Birmingham A4540 Roadside","Urban Traffic",52.476145,-1.874978,366,0,1
"BLC2","Blackpool Marton","Urban Background",53.80489,-3.007175,366,0,1
"BOTR","Burton-on-Trent Horninglow","Urban Background",52.82105,-1.635718,366,0,1
"COPP","Crewe Coppenhall","Urban Background",53.115941,-2.453492,366,0,1
"EB","Eastbourne","Urban Background",50.805778,0.271611,366,0,1
"GHSR","Glasgow High Street","Urban Traffic",55.860936,-4.238214,366,0,1
"GLKP","Glasgow Townhead","Urban Background",55.865782,-4.243631,366,0,1
"HUL2","Hull Freetown","Urban Background",53.74878,-0.341222,366,0,1
"IMGM","Immingham Woodlands Avenue","Urban Background",53.619241,-0.213324,366,0,1
"LEAM","Leamington Spa","Urban Background",52.28881,-1.533119,366,0,1
"LEAR","Leamington Spa Rugby Road","Urban Traffic",52.294884,-1.542911,366,0,1
"LECU","Leicester University","Urban Background",52.619904,-1.127182,366,0,1
"NPT3","Newport","Urban Background",51.601203,-2.977281,366,0,1
"OSY","St Osyth","Rural Background",51.777874,1.04901,366,0,1
"PEMB","Narberth","Rural Background",51.782616,-4.69237,366,0,1
"PLYM","Plymouth Centre","Urban Background",50.37167,-4.142361,366,0,1
"PRES","Preston","Urban Background",53.76559,-2.680353,366,0,1
"REA1","Reading New Town","Urban Background",51.45309,-0.944067,366,0,1
"SEND","Southend-on-Sea","Urban Background",51.544166,0.678331,366,0,1
"SHDG","Sheffield Devonshire Green","Urban Background",53.378622,-1.478096,366,0,1
"SHE","Sheffield Tinsley","Urban Background",53.41058,-1.396139,366,0,1
"SOUT","Southampton Centre","Urban Background",50.908173,-1.395757,366,0,1
"STOK","Stoke-on-Trent Centre","Urban Background",53.02821,-2.175133,366,0,1
"SUN2","Sunderland Silksworth","Urban Background",54.88361,-1.406878,366,0,1
"TRAN","Wirral Tranmere","Urban Background",53.37287,-3.022722,366,0,1
"WFEN","Wicken Fen","Rural Background",52.2985,0.290917,366,0,1
"WREX","Wrexham","Urban Traffic",53.042282,-3.002829,366,0,1
