"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae"
0,0,1,"Hierarchical Bayesian GNAR",0,8700,3.78824356395999,2.65455921360845
0,0,2,"Hierarchical Bayesian GNAR",0,8700,3.7882277914699,2.65532941507477
0,0,3,"Hierarchical Bayesian GNAR",0,8700,3.78809364461255,2.6548921026139
0,0,4,"Hierarchical Bayesian GNAR",0,8700,3.78807774091431,2.65481506029344
0,0,5,"Hierarchical Bayesian GNAR",0,8700,3.78806035616709,2.65472463163825
0,0,6,"Hierarchical Bayesian GNAR",0,8700,3.78808476909025,2.6546283490506
0,0,7,"Hierarchical Bayesian GNAR",0,8700,3.78811217108704,2.65504182759903
0,0,8,"Hierarchical Bayesian GNAR",0,8700,3.7878480280915,2.65449741399328
0,0,9,"Hierarchical Bayesian GNAR",0,8700,3.78753311966211,2.65451582122384
0,0,10,"Hierarchical Bayesian GNAR",0,8700,3.78825696062938,2.65491013119757
0.1,10,1,"Hierarchical Bayesian GNAR",0.0971461187214612,6415,3.79743039596881,2.65612907285516
0.1,10,2,"Hierarchical Bayesian GNAR",0.0939497716894977,6459,3.79086804497901,2.65812878022958
0.1,10,3,"Hierarchical Bayesian GNAR",0.0976027397260274,6364,3.79059048422206,2.65974725004872
0.1,10,4,"Hierarchical Bayesian GNAR",0.0994292237442922,6332,3.78215607805789,2.65942742509686
0.1,10,5,"Hierarchical Bayesian GNAR",0.0920091324200913,6509,3.80226650969733,2.65307760311041
0.1,10,6,"Hierarchical Bayesian GNAR",0.103196347031963,6269,3.80193610128584,2.66238962674542
0.1,10,7,"Hierarchical Bayesian GNAR",0.0969178082191781,6410,3.79111479223788,2.65552136041367
0.1,10,8,"Hierarchical Bayesian GNAR",0.102283105022831,6292,3.79685546806201,2.65703077601301
0.1,10,9,"Hierarchical Bayesian GNAR",0.100114155251142,6323,3.78678871974101,2.66366102929574
0.1,10,10,"Hierarchical Bayesian GNAR",0.102853881278539,6256,3.79370581904109,2.65861189415769
0.2,20,1,"Hierarchical Bayesian GNAR",0.196917808219178,4522,3.79963599008644,2.66192479585491
0.2,20,2,"Hierarchical Bayesian GNAR",0.199086757990868,4441,3.78526228366977,2.66230998887188
0.2,20,3,"Hierarchical Bayesian GNAR",0.196917808219178,4497,3.79506881810994,2.66968867457178
0.2,20,4,"Hierarchical Bayesian GNAR",0.19486301369863,4488,3.80384553825274,2.664924794475
0.2,20,5,"Hierarchical Bayesian GNAR",0.202283105022831,4364,3.7931668166744,2.66589104869816
0.2,20,6,"Hierarchical Bayesian GNAR",0.192351598173516,4555,3.79492210298124,2.67040579759387
0.2,20,7,"Hierarchical Bayesian GNAR",0.197146118721461,4497,3.80207002500022,2.66619173161215
0.2,20,8,"Hierarchical Bayesian GNAR",0.19703196347032,4526,3.78714971689337,2.66232673538592
0.2,20,9,"Hierarchical Bayesian GNAR",0.198401826484018,4497,3.78731973294202,2.65902714984166
0.2,20,10,"Hierarchical Bayesian GNAR",0.203995433789954,4363,3.81393061997561,2.65842262616789
0.3,30,1,"Hierarchical Bayesian GNAR",0.296689497716895,3029,3.80372068463561,2.67893446852438
0.3,30,2,"Hierarchical Bayesian GNAR",0.288584474885845,3125,3.84206645364178,2.68250018781165
0.3,30,3,"Hierarchical Bayesian GNAR",0.29703196347032,3008,3.8058808260095,2.67539221691125
0.3,30,4,"Hierarchical Bayesian GNAR",0.299315068493151,2958,3.82870682099374,2.67414171769111
0.3,30,5,"Hierarchical Bayesian GNAR",0.290182648401827,3066,3.79478838277752,2.68664830182928
0.3,30,6,"Hierarchical Bayesian GNAR",0.297716894977169,2999,3.7928538292728,2.66695917679399
0.3,30,7,"Hierarchical Bayesian GNAR",0.307648401826484,2861,3.82331096538523,2.68600393692153
0.3,30,8,"Hierarchical Bayesian GNAR",0.302625570776256,2916,3.80141668114923,2.66163495775168
0.3,30,9,"Hierarchical Bayesian GNAR",0.294063926940639,3045,3.80787047990528,2.67681294572874
0.3,30,10,"Hierarchical Bayesian GNAR",0.296461187214612,2968,3.78701529588581,2.67816688255042
0.4,40,1,"Hierarchical Bayesian GNAR",0.403196347031963,1853,3.83281262359265,2.68243170249913
0.4,40,2,"Hierarchical Bayesian GNAR",0.398287671232877,1872,3.81934921533002,2.69625521503323
0.4,40,3,"Hierarchical Bayesian GNAR",0.39783105022831,1825,3.812414708309,2.67516270028783
0.4,40,4,"Hierarchical Bayesian GNAR",0.389954337899543,1952,3.77525735327333,2.68380455911205
0.4,40,5,"Hierarchical Bayesian GNAR",0.399315068493151,1921,3.8049753770321,2.68198629994482
0.4,40,6,"Hierarchical Bayesian GNAR",0.396004566210046,1956,3.80485514251051,2.68224352150391
0.4,40,7,"Hierarchical Bayesian GNAR",0.397716894977169,1923,3.84385104564545,2.6838732530068
0.4,40,8,"Hierarchical Bayesian GNAR",0.405365296803653,1824,3.82860149335194,2.69974596138958
0.4,40,9,"Hierarchical Bayesian GNAR",0.393949771689498,1985,3.80983423055426,2.69004884078164
0.4,40,10,"Hierarchical Bayesian GNAR",0.386643835616438,2001,3.8090819133122,2.68336348426825
0.5,50,1,"Hierarchical Bayesian GNAR",0.491666666666667,1147,3.865037740707,2.70422774784159
0.5,50,2,"Hierarchical Bayesian GNAR",0.498972602739726,1056,3.88254330924534,2.71663891383248
0.5,50,3,"Hierarchical Bayesian GNAR",0.493036529680365,1168,3.83551771941863,2.69463603030008
0.5,50,4,"Hierarchical Bayesian GNAR",0.497260273972603,1054,3.84560221375225,2.70697902140769
0.5,50,5,"Hierarchical Bayesian GNAR",0.491438356164384,1157,3.8587593342131,2.69435276442153
