"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae","coverage_95"
0,0,1,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,1,"Bayesian Gaussian GNAR",0,8700,3.83329490841122,2.70903337160706,0.924774774774775
0,0,2,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,2,"Bayesian Gaussian GNAR",0,8700,3.8330774776516,2.70944301458547,0.926576576576577
0,0,3,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,3,"Bayesian Gaussian GNAR",0,8700,3.83284008754648,2.70964411626528,0.926126126126126
0,0,4,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,4,"Bayesian Gaussian GNAR",0,8700,3.8333180453265,2.70943059062927,0.925225225225225
0,0,5,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,5,"Bayesian Gaussian GNAR",0,8700,3.83285658523374,2.70942526895071,0.926576576576577
0,0,6,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,6,"Bayesian Gaussian GNAR",0,8700,3.83339369668871,2.70935131379775,0.922972972972973
0,0,7,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,7,"Bayesian Gaussian GNAR",0,8700,3.83325675287586,2.70922426518672,0.923873873873874
0,0,8,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,8,"Bayesian Gaussian GNAR",0,8700,3.83276144980028,2.70944206911651,0.926576576576577
0,0,9,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,9,"Bayesian Gaussian GNAR",0,8700,3.83307119438147,2.7096618741029,0.923423423423423
0,0,10,"Unrestricted VAR",0,8700,4.15854753779602,2.99983243361146,NA
0,0,10,"Bayesian Gaussian GNAR",0,8700,3.83320134300477,2.70934785246378,0.924774774774775
0.1,10,1,"Unrestricted VAR",0.0971461187214612,6415,4.19252802981688,2.98610758336735,NA
0.1,10,1,"Bayesian Gaussian GNAR",0.0971461187214612,6415,3.84593612770592,2.7158176533801,0.922522522522523
0.1,10,2,"Unrestricted VAR",0.0939497716894977,6459,4.20545070221964,2.97094939357796,NA
0.1,10,2,"Bayesian Gaussian GNAR",0.0939497716894977,6459,3.83384450821774,2.71176887870939,0.926126126126126
0.1,10,3,"Unrestricted VAR",0.0976027397260274,6364,3.92418586914413,2.83211969410449,NA
0.1,10,3,"Bayesian Gaussian GNAR",0.0976027397260274,6364,3.83040926291275,2.71026785669666,0.922522522522523
0.1,10,4,"Unrestricted VAR",0.0994292237442922,6332,3.99554361206987,2.82543509023439,NA
0.1,10,4,"Bayesian Gaussian GNAR",0.0994292237442922,6332,3.82617543586796,2.70929905468318,0.920720720720721
0.1,10,5,"Unrestricted VAR",0.0920091324200913,6509,4.27775561856814,3.05896940469948,NA
0.1,10,5,"Bayesian Gaussian GNAR",0.0920091324200913,6509,3.8425376558959,2.70818524812649,0.918918918918919
0.1,10,6,"Unrestricted VAR",0.103196347031963,6269,3.92048930983516,2.80426984298788,NA
0.1,10,6,"Bayesian Gaussian GNAR",0.103196347031963,6269,3.84104022744072,2.70830832404247,0.922072072072072
0.1,10,7,"Unrestricted VAR",0.0969178082191781,6410,3.93357929465808,2.8649887226841,NA
0.1,10,7,"Bayesian Gaussian GNAR",0.0969178082191781,6410,3.83583778778069,2.70978866804302,0.918468468468468
0.1,10,8,"Unrestricted VAR",0.102283105022831,6292,3.9764837562387,2.85431027119946,NA
0.1,10,8,"Bayesian Gaussian GNAR",0.102283105022831,6292,3.83758178915083,2.70702431252012,0.922522522522523
0.1,10,9,"Unrestricted VAR",0.100114155251142,6323,3.87834621593321,2.78158157607311,NA
0.1,10,9,"Bayesian Gaussian GNAR",0.100114155251142,6323,3.82726957071067,2.70953910982558,0.920720720720721
0.1,10,10,"Unrestricted VAR",0.102853881278539,6256,3.83343970113508,2.73326133013498,NA
0.1,10,10,"Bayesian Gaussian GNAR",0.102853881278539,6256,3.83283868197034,2.70708187159932,0.922522522522523
0.2,20,1,"Unrestricted VAR",0.196917808219178,4522,3.85145569761129,2.74360445958198,NA
0.2,20,1,"Bayesian Gaussian GNAR",0.196917808219178,4522,3.83871678932674,2.70750188280612,0.925225225225225
0.2,20,2,"Unrestricted VAR",0.199086757990868,4441,4.0867362289322,2.8924460806749,NA
