"model","date","site_id","observed","forecast"
"Gaussian GNAR baseline",2024-10-19,"EB",4.59525,4.80340396968121
"Gaussian GNAR baseline",2024-10-19,"IMGM",5.39895833333333,5.2383519761348
"Gaussian GNAR baseline",2024-10-19,"PRES",6.41229166666667,5.25805406681702
"Gaussian GNAR baseline",2024-10-19,"BIRR",6.5575,5.69886913054891
"Gaussian GNAR baseline",2024-10-19,"BLC2",6.879,5.27163903702117
"Gaussian GNAR baseline",2024-10-19,"BOTR",7.903875,5.88524713147558
"Gaussian GNAR baseline",2024-10-19,"GHSR",8.922,4.46417886101232
"Gaussian GNAR baseline",2024-10-19,"LEAM",4.81916666666667,5.06639098838226
"Gaussian GNAR baseline",2024-10-19,"NPT3",7.3635,5.67958880169884
"Gaussian GNAR baseline",2024-10-19,"REA1",5.85308333333333,5.03822249891293
"Gaussian GNAR baseline",2024-10-19,"SOUT",6.33054166666667,5.56987496440517
"Gaussian GNAR baseline",2024-10-19,"WREX",5.33908333333333,5.06699074853248
"Gaussian GNAR baseline",2024-10-19,"LEAR",4.47325,4.86737788196155
"Gaussian GNAR baseline",2024-10-19,"PLYM",8.988875,7.17906744438474
"Gaussian GNAR baseline",2024-10-19,"SHDG",7.30645833333333,5.44802879063351
"Gaussian GNAR baseline",2024-10-19,"SHE",6.90154166666667,6.13127184816077
"Gaussian GNAR baseline",2024-10-19,"BEL2",9.75929166666667,5.88582762936212
"Gaussian GNAR baseline",2024-10-19,"GLKP",8.60645833333333,4.35716158950805
"Gaussian GNAR baseline",2024-10-19,"LECU",5.63204166666667,5.07364647222497
"Gaussian GNAR baseline",2024-10-19,"SUN2",7.334,5.53698290643046
"Gaussian GNAR baseline",2024-10-19,"TRAN",6.15083333333333,5.03281934066783
"Gaussian GNAR baseline",2024-10-19,"STOK",5.43045833333333,5.57136629971668
"Gaussian GNAR baseline",2024-10-19,"BEX",5.739,6.42341460010829
"Gaussian GNAR baseline",2024-10-19,"SEND",5.04825,6.05746296528211
"Gaussian GNAR baseline",2024-10-19,"HUL2",6.60575,6.6252469941571
"Gaussian GNAR baseline",2024-10-19,"PEMB",8.29804166666667,5.62815032042578
"Gaussian GNAR baseline",2024-10-19,"WFEN",4.16383333333333,5.18240819008231
"Gaussian GNAR baseline",2024-10-19,"OSY",4.5675,5.93957998295669
"Gaussian GNAR baseline",2024-10-19,"ACTH",5.07070833333333,3.99587279803118
"Gaussian GNAR baseline",2024-10-19,"COPP",5.82845833333333,5.15486444258682
"Gaussian GNAR baseline",2024-10-20,"EB",6.81508333333333,5.96332809591347
"Gaussian GNAR baseline",2024-10-20,"IMGM",6.42404166666667,6.32069323243543
"Gaussian GNAR baseline",2024-10-20,"PRES",7.73504166666667,6.73814984704723
"Gaussian GNAR baseline",2024-10-20,"BIRR",7.80470833333333,6.81992421379013
"Gaussian GNAR baseline",2024-10-20,"BLC2",10.3086666666667,6.92958427508431
"Gaussian GNAR baseline",2024-10-20,"BOTR",7.56970833333333,7.38630367608013
"Gaussian GNAR baseline",2024-10-20,"GHSR",6.33654166666667,7.72125883319723
"Gaussian GNAR baseline",2024-10-20,"LEAM",7.55708333333333,6.06993286540783
"Gaussian GNAR baseline",2024-10-20,"NPT3",10.0374166666667,7.15077963115087
"Gaussian GNAR baseline",2024-10-20,"REA1",7.57079166666667,6.49316625471279
"Gaussian GNAR baseline",2024-10-20,"SOUT",8.70775,6.71961490896295
"Gaussian GNAR baseline",2024-10-20,"WREX",7.40270833333333,6.28444614319771
"Gaussian GNAR baseline",2024-10-20,"LEAR",7.341875,5.91700280948173
"Gaussian GNAR baseline",2024-10-20,"PLYM",13.4699583333333,7.90622772231489
"Gaussian GNAR baseline",2024-10-20,"SHDG",7.46070833333333,7.11661311523428
"Gaussian GNAR baseline",2024-10-20,"SHE",8.190875,6.99005921241377
"Gaussian GNAR baseline",2024-10-20,"BEL2",7.01154166666667,8.14796696050062
"Gaussian GNAR baseline",2024-10-20,"GLKP",5.92479166666667,7.58549983332775
"Gaussian GNAR baseline",2024-10-20,"LECU",6.88875,6.4048440621401
"Gaussian GNAR baseline",2024-10-20,"SUN2",7.268125,7.13373952821811
"Gaussian GNAR baseline",2024-10-20,"TRAN",8.08566666666667,6.61744564682798
"Gaussian GNAR baseline",2024-10-20,"STOK",7.63866666666667,6.35263054774134
"Gaussian GNAR baseline",2024-10-20,"BEX",7.169875,6.52866053725674
"Gaussian GNAR baseline",2024-10-20,"SEND",6.67158333333333,6.22389908087375
"Gaussian GNAR baseline",2024-10-20,"HUL2",7.497125,6.89723350574698
"Gaussian GNAR baseline",2024-10-20,"PEMB",11.4229583333333,7.53124934161988
"Gaussian GNAR baseline",2024-10-20,"WFEN",6.950625,5.80921322517196
"Gaussian GNAR baseline",2024-10-20,"OSY",7.07645833333333,6.02009057163932
"Gaussian GNAR baseline",2024-10-20,"ACTH",4.666875,6.1139185553019
"Gaussian GNAR baseline",2024-10-20,"COPP",7.80183333333333,6.4922584868393
"Gaussian GNAR baseline",2024-10-21,"EB",5.89833333333333,7.2292291938612
"Gaussian GNAR baseline",2024-10-21,"IMGM",9.52113043478261,7.08827274000623
"Gaussian GNAR baseline",2024-10-21,"PRES",7.22095833333333,7.65211228467942
"Gaussian GNAR baseline",2024-10-21,"BIRR",12.4931666666667,7.68432366301062
"Gaussian GNAR baseline",2024-10-21,"BLC2",8.54166666666667,8.72150690484151
"Gaussian GNAR baseline",2024-10-21,"BOTR",11.6794583333333,7.62086737181742
"Gaussian GNAR baseline",2024-10-21,"GHSR",6.29525,7.13902768744364
"Gaussian GNAR baseline",2024-10-21,"LEAM",11.4859166666667,7.53974527303776
"Gaussian GNAR baseline",2024-10-21,"NPT3",11.1125,8.62193407566943
"Gaussian GNAR baseline",2024-10-21,"REA1",10.3047083333333,7.57083084418295
"Gaussian GNAR baseline",2024-10-21,"SOUT",9.086125,8.04993838476614
"Gaussian GNAR baseline",2024-10-21,"WREX",7.048,7.48908652414357
"Gaussian GNAR baseline",2024-10-21,"LEAR",10.975875,7.44276740071125
"Gaussian GNAR baseline",2024-10-21,"PLYM",12.5807083333333,10.0729137753405
"Gaussian GNAR baseline",2024-10-21,"SHDG",7.51079166666667,7.56135629525572
"Gaussian GNAR baseline",2024-10-21,"SHE",7.89216666666667,7.85152897767095
"Gaussian GNAR baseline",2024-10-21,"BEL2",6.43966666666667,7.43710166139642
"Gaussian GNAR baseline",2024-10-21,"GLKP",6.09079166666667,6.96200771769865
"Gaussian GNAR baseline",2024-10-21,"LECU",11.253,7.28503182004101
"Gaussian GNAR baseline",2024-10-21,"SUN2",4.90383333333333,7.48287155322284
"Gaussian GNAR baseline",2024-10-21,"TRAN",5.97626086956522,7.78980309758286
"Gaussian GNAR baseline",2024-10-21,"STOK",9.32395833333333,7.58832808445615
"Gaussian GNAR baseline",2024-10-21,"BEX",8.946625,7.40322304478188
"Gaussian GNAR baseline",2024-10-21,"SEND",8.33229166666667,7.18139348236327
"Gaussian GNAR baseline",2024-10-21,"HUL2",11.3050833333333,7.55907713305357
"Gaussian GNAR baseline",2024-10-21,"PEMB",9.35829166666667,9.21447496588128
"Gaussian GNAR baseline",2024-10-21,"WFEN",10.3271739130435,7.27432486840482
"Gaussian GNAR baseline",2024-10-21,"OSY",9.571625,7.33598609459663
"Gaussian GNAR baseline",2024-10-21,"ACTH",3.405125,6.35789718461154
"Gaussian GNAR baseline",2024-10-21,"COPP",7.615,7.66519594426295
"Gaussian GNAR baseline",2024-10-22,"EB",4.2305,7.08971599469363
"Gaussian GNAR baseline",2024-10-22,"IMGM",7.0215,8.56926582559956
"Gaussian GNAR baseline",2024-10-22,"PRES",6.46329166666667,7.65603557686553
"Gaussian GNAR baseline",2024-10-22,"BIRR",8.561375,9.82492791708933
"Gaussian GNAR baseline",2024-10-22,"BLC2",7.02629166666667,8.26227359711791
"Gaussian GNAR baseline",2024-10-22,"BOTR",6.869125,9.48466281014987
"Gaussian GNAR baseline",2024-10-22,"GHSR",6.103625,7.24109163920921
"Gaussian GNAR baseline",2024-10-22,"LEAM",5.06895833333333,9.40479540473544
"Gaussian GNAR baseline",2024-10-22,"NPT3",6.402375,9.3123552625543
"Gaussian GNAR baseline",2024-10-22,"REA1",5.190625,8.91958904904626
"Gaussian GNAR baseline",2024-10-22,"SOUT",6.91220833333333,8.44666911933524
"Gaussian GNAR baseline",2024-10-22,"WREX",4.05858333333333,7.57675922154194
"Gaussian GNAR baseline",2024-10-22,"LEAR",4.95091666666667,9.18984175381182
"Gaussian GNAR baseline",2024-10-22,"PLYM",8.9575,10.0003670755764
"Gaussian GNAR baseline",2024-10-22,"SHDG",6.273625,7.76842062953161
"Gaussian GNAR baseline",2024-10-22,"SHE",7.82629166666667,7.94316106527313
"Gaussian GNAR baseline",2024-10-22,"BEL2",6.68533333333333,7.31707075418697
"Gaussian GNAR baseline",2024-10-22,"GLKP",5.74983333333333,7.14691208926701
"Gaussian GNAR baseline",2024-10-22,"LECU",6.318875,9.29260186221832
"Gaussian GNAR baseline",2024-10-22,"SUN2",5.36170833333333,6.69207191485562
"Gaussian GNAR baseline",2024-10-22,"TRAN",6.81908333333333,7.1530250451143
"Gaussian GNAR baseline",2024-10-22,"STOK",6.27945833333333,8.51811582268629
"Gaussian GNAR baseline",2024-10-22,"BEX",5.94345833333333,8.35147069163083
"Gaussian GNAR baseline",2024-10-22,"SEND",5.60345833333333,8.08667891749654
"Gaussian GNAR baseline",2024-10-22,"HUL2",7.49259090909091,9.32898670002502
"Gaussian GNAR baseline",2024-10-22,"PEMB",6.88583333333333,8.62538207132081
"Gaussian GNAR baseline",2024-10-22,"WFEN",4.63045833333333,8.913557792801
"Gaussian GNAR baseline",2024-10-22,"OSY",5.83520833333333,8.60608170939832
"Gaussian GNAR baseline",2024-10-22,"ACTH",3.71275,6.01198576127994
"Gaussian GNAR baseline",2024-10-22,"COPP",5.21629166666667,7.81965323897864
"Gaussian GNAR baseline",2024-10-23,"EB",3.88958333333333,4.97909385661097
"Gaussian GNAR baseline",2024-10-23,"IMGM",6.032875,6.21553155428898
"Gaussian GNAR baseline",2024-10-23,"PRES",5.8315,5.92945565204349
"Gaussian GNAR baseline",2024-10-23,"BIRR",8.12216666666667,6.92166674170619
"Gaussian GNAR baseline",2024-10-23,"BLC2",6.11633333333333,6.19339093583129
"Gaussian GNAR baseline",2024-10-23,"BOTR",7.55608333333333,6.20602569175833
"Gaussian GNAR baseline",2024-10-23,"GHSR",4.16358333333333,5.75882516488483
"Gaussian GNAR baseline",2024-10-23,"LEAM",5.28,5.46129064195152
"Gaussian GNAR baseline",2024-10-23,"NPT3",6.57433333333333,6.00020877662476
"Gaussian GNAR baseline",2024-10-23,"REA1",5.62216666666667,5.48222619474532
"Gaussian GNAR baseline",2024-10-23,"SOUT",6.37383333333333,6.15989846551224
"Gaussian GNAR baseline",2024-10-23,"WREX",5.57036363636364,4.93672627346998
"Gaussian GNAR baseline",2024-10-23,"LEAR",4.68954166666667,5.40021373011003
"Gaussian GNAR baseline",2024-10-23,"PLYM",6.25095833333333,7.08665154975545
"Gaussian GNAR baseline",2024-10-23,"SHDG",6.625375,5.85862634018728
"Gaussian GNAR baseline",2024-10-23,"SHE",9.602,6.50624847962076
"Gaussian GNAR baseline",2024-10-23,"BEL2",5.62504166666667,6.00149529910463
"Gaussian GNAR baseline",2024-10-23,"GLKP",3.88570833333333,5.60836376911254
"Gaussian GNAR baseline",2024-10-23,"LECU",5.66445833333333,5.96934404549081
"Gaussian GNAR baseline",2024-10-23,"SUN2",8.17029166666667,5.41960441573272
"Gaussian GNAR baseline",2024-10-23,"TRAN",6.06533333333333,6.04506705932112
"Gaussian GNAR baseline",2024-10-23,"STOK",7.24982608695652,5.90565668611238
"Gaussian GNAR baseline",2024-10-23,"BEX",6.83966666666667,5.75825322390342
"Gaussian GNAR baseline",2024-10-23,"SEND",6.14583333333333,5.60337159404802
"Gaussian GNAR baseline",2024-10-23,"HUL2",8.50933333333333,6.45309010202371
"Gaussian GNAR baseline",2024-10-23,"PEMB",4.9755,6.15575643579423
"Gaussian GNAR baseline",2024-10-23,"WFEN",6.43579166666667,5.2525188474264
"Gaussian GNAR baseline",2024-10-23,"OSY",5.72629166666667,5.72914118136521
"Gaussian GNAR baseline",2024-10-23,"ACTH",2.63270833333333,4.70489689244334
"Gaussian GNAR baseline",2024-10-23,"COPP",6.01004347826087,5.42656738213532
"Gaussian GNAR baseline",2024-10-24,"EB",5.52766666666667,5.29214170414976
"Gaussian GNAR baseline",2024-10-24,"IMGM",7.73104166666667,6.24185910789195
"Gaussian GNAR baseline",2024-10-24,"PRES",6.64808333333333,6.14534179698156
"Gaussian GNAR baseline",2024-10-24,"BIRR",7.638,7.13858202137563
"Gaussian GNAR baseline",2024-10-24,"BLC2",6.669625,6.27628317955362
"Gaussian GNAR baseline",2024-10-24,"BOTR",7.34966666666667,6.86423352382188
"Gaussian GNAR baseline",2024-10-24,"GHSR",4.822125,5.45087972118846
"Gaussian GNAR baseline",2024-10-24,"LEAM",6.58308333333333,5.88432133026554
"Gaussian GNAR baseline",2024-10-24,"NPT3",7.1855,6.44918902849578
"Gaussian GNAR baseline",2024-10-24,"REA1",6.61566666666667,6.02796620839305
"Gaussian GNAR baseline",2024-10-24,"SOUT",6.27554166666667,6.37932207247291
"Gaussian GNAR baseline",2024-10-24,"WREX",7.26145833333333,5.97880612691011
"Gaussian GNAR baseline",2024-10-24,"LEAR",6.27166666666667,5.63870368969049
"Gaussian GNAR baseline",2024-10-24,"PLYM",9.05445454545455,6.37915991235745
"Gaussian GNAR baseline",2024-10-24,"SHDG",8.80804166666667,6.46700077424554
"Gaussian GNAR baseline",2024-10-24,"SHE",9.08025,7.72878302477189
"Gaussian GNAR baseline",2024-10-24,"BEL2",7.5265,6.06594141038674
"Gaussian GNAR baseline",2024-10-24,"GLKP",4.6395,5.32794843590526
"Gaussian GNAR baseline",2024-10-24,"LECU",7.289875,6.07312324369912
"Gaussian GNAR baseline",2024-10-24,"SUN2",12.3594583333333,7.07960183808257
"Gaussian GNAR baseline",2024-10-24,"TRAN",7.17979166666667,6.25021868430063
"Gaussian GNAR baseline",2024-10-24,"STOK",8.11716666666667,6.723829273835
"Gaussian GNAR baseline",2024-10-24,"BEX",7.46458333333333,6.54695952494281
"Gaussian GNAR baseline",2024-10-24,"SEND",6.53708333333333,6.25338520291975
"Gaussian GNAR baseline",2024-10-24,"HUL2",8.95145833333333,7.27142058298313
"Gaussian GNAR baseline",2024-10-24,"PEMB",6.67058333333333,5.80387831192157
"Gaussian GNAR baseline",2024-10-24,"WFEN",8.458125,6.34862341179799
"Gaussian GNAR baseline",2024-10-24,"OSY",8.22233333333333,6.08663442708029
"Gaussian GNAR baseline",2024-10-24,"ACTH",4.04175,4.76274978338353
"Gaussian GNAR baseline",2024-10-24,"COPP",8.18704166666667,6.18803744048564
"Gaussian GNAR baseline",2024-10-25,"EB",6.56158333333333,6.54064017663083
"Gaussian GNAR baseline",2024-10-25,"IMGM",15.9395,7.49911140043924
"Gaussian GNAR baseline",2024-10-25,"PRES",10.9228333333333,7.04899693765047
"Gaussian GNAR baseline",2024-10-25,"BIRR",13.0474583333333,7.51229553124125
"Gaussian GNAR baseline",2024-10-25,"BLC2",11.141875,7.06486318271669
"Gaussian GNAR baseline",2024-10-25,"BOTR",11.7561666666667,7.37983955097481
