"model","decile","forecast_error"
"Hierarchical Bayesian GNAR",1,2.51577464992803
"Hierarchical Bayesian GNAR",2,2.23571135660464
"Hierarchical Bayesian GNAR",3,1.48641960380869
"Hierarchical Bayesian GNAR",4,1.08603867160617
"Hierarchical Bayesian GNAR",5,0.621586567784456
"Hierarchical Bayesian GNAR",6,0.0589913257403206
"Hierarchical Bayesian GNAR",7,-0.34091513649211
"Hierarchical Bayesian GNAR",8,-0.970030449886901
"Hierarchical Bayesian GNAR",9,-2.57490723463654
"Hierarchical Bayesian GNAR",10,-6.90763705192192
"Student-t Bayesian GNAR",1,2.46721767804806
"Student-t Bayesian GNAR",2,1.95717538905591
"Student-t Bayesian GNAR",3,1.12796374800676
"Student-t Bayesian GNAR",4,0.698252073142946
"Student-t Bayesian GNAR",5,0.153063778522682
"Student-t Bayesian GNAR",6,-0.427291985689947
"Student-t Bayesian GNAR",7,-0.878923766708054
"Student-t Bayesian GNAR",8,-1.49634876324623
"Student-t Bayesian GNAR",9,-3.12730577335613
"Student-t Bayesian GNAR",10,-7.72950151396775
"Peak-weighted GNAR",1,3.06538229354177
"Peak-weighted GNAR",2,2.76589755137304
"Peak-weighted GNAR",3,2.04220388618562
"Peak-weighted GNAR",4,1.69222074475892
"Peak-weighted GNAR",5,1.27063652134744
"Peak-weighted GNAR",6,0.745305442106565
"Peak-weighted GNAR",7,0.507252743708416
"Peak-weighted GNAR",8,0.15993999899855
"Peak-weighted GNAR",9,-1.14334572398818
"Peak-weighted GNAR",10,-4.27569371288406
