"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae"
0,0,1,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,2,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,3,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,4,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,5,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,6,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,7,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,8,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,9,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0,0,10,"AR(1)",0,8730,3.97044705947671,2.74034317504956
0.1,10,1,"AR(1)",0.0971461187214612,7117,3.98148539517779,2.74769966857853
0.1,10,2,"AR(1)",0.0939497716894977,7163,3.96948949193132,2.73975517523308
0.1,10,3,"AR(1)",0.0976027397260274,7093,3.97945042069416,2.74424088444968
0.1,10,4,"AR(1)",0.0994292237442922,7071,3.97352835688801,2.74834556671154
0.1,10,5,"AR(1)",0.0920091324200913,7192,3.99946628472569,2.74815424469703
0.1,10,6,"AR(1)",0.103196347031963,7023,3.99123254439631,2.7498273929211
0.1,10,7,"AR(1)",0.0969178082191781,7118,3.98066106822709,2.74124316549919
0.1,10,8,"AR(1)",0.102283105022831,7037,3.97442194365748,2.74274400186978
0.1,10,9,"AR(1)",0.100114155251142,7057,3.98496806510447,2.74906367392715
0.1,10,10,"AR(1)",0.102853881278539,7016,3.97480382132057,2.7406076884478
0.2,20,1,"AR(1)",0.196917808219178,5633,3.98466043019692,2.7462804528427
0.2,20,2,"AR(1)",0.199086757990868,5592,3.98885453868928,2.75259088646819
0.2,20,3,"AR(1)",0.196917808219178,5627,3.98059708618529,2.76004748325839
0.2,20,4,"AR(1)",0.19486301369863,5624,3.99034942907101,2.75567072990513
0.2,20,5,"AR(1)",0.202283105022831,5530,3.9975970702199,2.75961865642471
0.2,20,6,"AR(1)",0.192351598173516,5688,4.00273989808687,2.7607903170756
0.2,20,7,"AR(1)",0.197146118721461,5624,4.0087018160478,2.7691101835945
0.2,20,8,"AR(1)",0.19703196347032,5641,3.98917883306021,2.75119092702355
0.2,20,9,"AR(1)",0.198401826484018,5625,3.99037279181537,2.74938519156777
0.2,20,10,"AR(1)",0.203995433789954,5508,3.99132300110042,2.74287611630127
0.3,30,1,"AR(1)",0.296689497716895,4322,4.03287970460262,2.77360011628354
0.3,30,2,"AR(1)",0.288584474885845,4399,4.06406788400037,2.76774459660245
0.3,30,3,"AR(1)",0.29703196347032,4303,4.01226133263339,2.7624386241986
0.3,30,4,"AR(1)",0.299315068493151,4281,4.02482747183442,2.77000098200655
0.3,30,5,"AR(1)",0.290182648401827,4368,3.99518696071276,2.76153562191902
0.3,30,6,"AR(1)",0.297716894977169,4307,3.99093868824566,2.75895625709401
0.3,30,7,"AR(1)",0.307648401826484,4174,3.98707566376857,2.75497792739556
0.3,30,8,"AR(1)",0.302625570776256,4226,3.99955752165477,2.75759658430628
0.3,30,9,"AR(1)",0.294063926940639,4341,4.01172230570489,2.77060995057001
0.3,30,10,"AR(1)",0.296461187214612,4295,3.97711475625909,2.75055157420762
0.4,40,1,"AR(1)",0.403196347031963,3118,4.05869357440822,2.79061741440922
0.4,40,2,"AR(1)",0.398287671232877,3145,4.02546681052155,2.79388789067462
0.4,40,3,"AR(1)",0.39783105022831,3113,4.07870134021443,2.80197854045852
0.4,40,4,"AR(1)",0.389954337899543,3230,4.05456827785992,2.77922549690099
0.4,40,5,"AR(1)",0.399315068493151,3161,4.01316816802486,2.77523310999481
0.4,40,6,"AR(1)",0.396004566210046,3216,4.03639937837802,2.76264821292448
0.4,40,7,"AR(1)",0.397716894977169,3173,4.05853248618366,2.80065198431952
0.4,40,8,"AR(1)",0.405365296803653,3096,4.00086506818718,2.76443250875595
0.4,40,9,"AR(1)",0.393949771689498,3247,4.02882655887541,2.78727899607298
0.4,40,10,"AR(1)",0.386643835616438,3308,3.99567997554134,2.75351757054516
0.5,50,1,"AR(1)",0.491666666666667,2282,4.03480801983031,2.79366545863053
0.5,50,2,"AR(1)",0.498972602739726,2175,4.06112788794943,2.79095475665801
0.5,50,3,"AR(1)",0.493036529680365,2271,4.02899455772037,2.77699934799252
0.5,50,4,"AR(1)",0.497260273972603,2168,4.12351923261753,2.83035490840628
0.5,50,5,"AR(1)",0.491438356164384,2260,4.05566187760435,2.79788610585974
0.5,50,6,"AR(1)",0.508904109589041,2089,4.08347130137437,2.79255017441812
0.5,50,7,"AR(1)",0.491780821917808,2195,4.18278415101309,2.84021996618194
0.5,50,8,"AR(1)",0.488127853881279,2253,4.03968129498664,2.7778150010831
0.5,50,9,"AR(1)",0.49486301369863,2259,4.06672333901998,2.81618887576884
0.5,50,10,"AR(1)",0.506849315068493,2126,4.09933030701026,2.80336145872715
0.6,60,1,"AR(1)",0.586073059360731,1481,4.08055431913714,2.80062714934388
0.6,60,2,"AR(1)",0.595319634703196,1447,4.15840493629801,2.82386953290914
0.6,60,3,"AR(1)",0.60216894977169,1377,4.15834783581206,2.86522042674033
0.6,60,4,"AR(1)",0.592922374429224,1416,4.19329092045145,2.84783319518693
0.6,60,5,"AR(1)",0.600799086757991,1407,4.20752472647593,2.85797596817439
0.6,60,6,"AR(1)",0.599315068493151,1377,4.13454520993626,2.86396175849014
0.6,60,7,"AR(1)",0.594520547945205,1430,4.1063811234712,2.79434505386473
0.6,60,8,"AR(1)",0.604908675799087,1359,4.27749635778579,2.90877074153256
0.6,60,9,"AR(1)",0.58972602739726,1489,4.12578208729971,2.8617904067937
0.6,60,10,"AR(1)",0.588698630136986,1486,4.09049313570689,2.81993553871563
