"station","residual_variance","coefficient_l2_norm","maximum_absolute_coefficient"
"EB",11.7154813379119,1.96882835688577,0.905221815399421
"IMGM",10.6907492925561,1.98159186193055,0.972056255133573
"PRES",7.17561107099213,2.03234688768873,0.792762643677519
"BIRR",11.1235296267529,2.27894686695693,0.868550630611456
"BLC2",8.52627524456349,2.41456994447764,0.942792292827487
"BOTR",9.42222396915734,2.16215337902427,0.836369337818355
"GHSR",5.54984591709192,1.2944338072563,0.503890192071355
"LEAM",11.498411182711,2.61373542652701,1.11552540327152
"NPT3",8.55693699802128,2.65562986775316,1.56744956004523
"REA1",10.376048382592,2.90101135512535,1.76506423907066
"SOUT",9.50365536951507,2.719711169198,1.66201770338736
"WREX",8.7055083788568,2.41133067277833,0.878891257727825
"LEAR",11.058262014463,2.37668497248346,1.13857632989992
"PLYM",12.115509233149,2.53558239129208,1.29814002081903
"SHDG",12.9575370190998,2.29556715865817,0.95575240707559
"SHE",10.467148453194,1.91709736483068,0.877367450344432
"BEL2",10.1471744010506,2.3971468396234,1.06761732614524
"GLKP",5.46857925437004,1.26827367906646,0.546146285564143
"LECU",9.49429227672855,2.39276821825014,0.963676843903944
"SUN2",11.1056303088597,1.87828822244459,0.6376281705758
"TRAN",8.67706591160409,2.11743520809274,0.896030856911107
"STOK",9.39993885615588,2.37029407299794,1.08776061909006
"BEX",15.7237445413672,2.8278257764551,1.64673654478124
"SEND",13.9622547312339,2.75838176434086,1.59720652154587
"HUL2",10.9845335223404,2.06936090870524,0.954368740253098
"PEMB",7.03950740214558,1.44008357186744,0.57791716792401
"WFEN",11.1044790763716,2.45941845125961,1.36655914886611
"OSY",12.7650597962417,2.53124117983278,1.25635108131026
"ACTH",4.62485582945365,1.19919084445223,0.436966804178848
"COPP",10.3750769605722,2.60329880741077,1.22033156344524
